STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
ZAMFARA,18,37,0,55,252,40,292,475,40,0,2,1,0,5,2,6,0,1,2,0,0,0,0,0,1,12,Q4,2020,9.406666666666666,1.9,18.97,0.4966666666666666,1.2666666666666666,95.23,10.286666666666669,22.89,12.933333333333332,22.67333333333333,85.3,3.733333333333333,2.33,347,6.3090909090909095,12.1704,6.659
ABIA,16,23,5,44,119,35,154,289,7,0,10,1,4,0,0,3,0,0,3,0,0,0,0,0,7,1,Q1,2021,7.803333333333334,1.7033333333333334,62.27333333333333,0.7033333333333333,1.1033333333333335,99.88666666666666,17.503333333333334,26.296666666666667,22.703333333333333,26.326666666666668,253.66666666666663,2.2166666666666663,1.3133333333333332,198,4.5,5.4527,7.5248
ADAMAWA,11,73,0,84,251,21,272,437,60,0,7,0,0,4,0,16,0,0,5,14,1,0,0,0,3,0,Q1,2021,9.72,2.276666666666667,38.96,0.1999999999999999,0.1066666666666666,97.94666666666669,5.646666666666667,29.66,3.2466666666666666,31.03,140.36666666666667,3.9666666666666655,2.98,356,4.238095238095238,9.3265,12.3984
AKWA IBOM,7,12,3,22,35,12,47,117,15,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,2,0,Q1,2021,,,,,,,,,,,,,,69,3.136363636363636,5.0377,7.9128
ANAMBRA,9,55,16,80,147,9,156,575,59,0,6,1,21,0,0,6,1,0,4,1,0,0,0,0,9,1,Q1,2021,8.17,1.82,55.71333333333333,0.7000000000000001,1.1466666666666665,99.76,17.17,26.313333333333333,22.27,26.26333333333333,260.8333333333333,2.643333333333333,1.4733333333333334,236,2.95,6.21,7.07
BAUCHI,52,78,1,131,634,115,749,1138,77,0,16,3,0,0,1,18,15,1,4,2,1,0,0,0,14,1,Q1,2021,9.29,2.1466666666666665,30.426666666666662,0.3,0.07,95.20333333333332,5.62,25.06,3.5033333333333334,25.856666666666666,35.46666666666667,3.87,2.97,880,6.717557251908397,10.3158,9.8442
BAYELSA,0,6,1,7,15,0,15,29,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Q1,2021,7.256666666666667,1.5466666666666666,66.34666666666666,0.8533333333333334,2.92,100.75333333333332,18.62333333333333,26.76,23.886666666666667,26.843333333333334,239.7,1.6966666666666663,1.25,22,3.142857142857143,4.7719000000000005,6.0699
BENUE,10,27,15,52,123,15,138,187,46,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3,Q1,2021,8.626666666666667,1.9266666666666663,50.446666666666665,0.4466666666666667,0.3833333333333333,99.31666666666666,12.36,28.436666666666667,15.976666666666668,29.31,117.93333333333334,3.963333333333333,2.0,190,3.6538461538461537,7.1907,8.1297
BORNO,8,23,0,31,78,24,102,149,31,0,3,0,0,0,0,2,5,0,2,1,0,0,0,0,2,0,Q1,2021,9.96,2.3666666666666667,35.096666666666664,0.1066666666666666,0.0,97.40333333333336,3.89,26.796666666666667,-0.98,28.03,33.03333333333334,3.8,3.333333333333333,133,4.290322580645161,11.8333,13.15
CROSS RIVER,12,13,0,25,50,30,80,135,17,0,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0,2,Q1,2021,8.256666666666668,1.8766666666666667,59.086666666666666,0.6699999999999999,0.8833333333333334,99.58333333333331,16.5,26.933333333333334,21.64333333333333,27.293333333333333,230.4333333333333,2.6266666666666665,1.4,105,4.2,5.9631,8.7268
